gene	type	organ
GLIS2	Probable DD gene	Kidney Renal Tract
SPRED1	Confirmed DD Gene	Skin
TTBK2	IF Gene: Adult No Rx	Brain/Cognition
LMF1	IF Gene: Adult Rx	Endocrine/Metabolic
ACTA2	Both DD and IF	Heart/Cardiovasculature/Lymphatic
GLE1	Confirmed DD Gene	Skeleton
PCNT	Confirmed DD Gene	Brain/Cognition
FAM58A	Confirmed DD Gene	Skeleton
CYCS	Child IF	Bone Marrow/Immune 
EYS	IF Gene: Adult No Rx	Eye
AK2	Confirmed DD Gene	Bone Marrow/Immune 
AFG3L2	Both DD and IF	Brain/Cognition
TBXAS1	Confirmed DD Gene	Skeleton
TMPRSS6	Confirmed DD Gene	Bone Marrow/Immune 
TARDBP	IF Gene: Adult No Rx	Brain/Cognition
HPGD	Both DD and IF	Skeleton
TRPV4	Confirmed DD Gene	Skeleton
MYO5B	Confirmed DD Gene	GI tract
TMEM70	Confirmed DD Gene	Brain/Cognition
LRTOMT	Confirmed DD Gene	Ear
IRF6	Confirmed DD Gene	Face
DCTN1	IF Gene: Adult No Rx	Brain/Cognition
THAP1	Both DD and IF	Brain/Cognition
TAC3	Possible DD Gene	Genitalia
TACR3	Possible DD Gene	Genitalia
SOX9	Confirmed DD Gene	Skeleton
MIR96	Both DD and IF	Ear
SLC25A38	Confirmed DD Gene	Bone Marrow/Immune 
SDHAF1	Confirmed DD Gene	Brain/Cognition
RNASET2	Confirmed DD Gene	Brain/Cognition
TACO1	Probable DD gene	Brain/Cognition
SEC23B	Confirmed DD Gene	Bone Marrow/Immune 
PYCR1	Confirmed DD Gene	Skin
SHOC2	Confirmed DD Gene	Brain/Cognition
FAM134B	Confirmed DD Gene	Spinal cord/Peripheral nerves
INF2	IF Gene: Adult Rx	Kidney Renal Tract
VIPAS39	Confirmed DD Gene	Spinal cord/Peripheral nerves
ARSB	Confirmed DD Gene	Endocrine/Metabolic
GLB1	Confirmed DD Gene	Endocrine/Metabolic
GUSB	Confirmed DD Gene	Endocrine/Metabolic
CTSD	Confirmed DD Gene	Brain/Cognition
CLN3	Confirmed DD Gene	Endocrine/Metabolic
CLN5	Confirmed DD Gene	Brain/Cognition
NAGLU	Confirmed DD Gene	Brain/Cognition
CTNS	Confirmed DD Gene	Kidney Renal Tract
FUCA1	Confirmed DD Gene	Brain/Cognition
GALNS	Both DD and IF	Brain/Cognition
GBA	Both DD and IF	Endocrine/Metabolic
GNS	Confirmed DD Gene	Brain/Cognition
HEXA	Confirmed DD Gene	Brain/Cognition
HEXB	Confirmed DD Gene	Brain/Cognition
HGSNAT	Confirmed DD Gene	Brain/Cognition
HYAL1	Confirmed DD Gene	Skeleton
PEX12	Confirmed DD Gene	Brain/Cognition
PEX14	Confirmed DD Gene	Brain/Cognition
PEX16	Confirmed DD Gene	Brain/Cognition
