gene	type	organ
BCOR	Confirmed DD Gene	Skeleton
BEST1	Possible DD Gene	Eye
CRYBA1	Confirmed DD Gene	Eye
CRYBA4	Confirmed DD Gene	Eye
CRYBB1	Confirmed DD Gene	Eye
CRYBB2	Confirmed DD Gene	Eye
CRYBB3	Confirmed DD Gene	Eye
BMP4	Confirmed DD Gene	Eye
BMP4	Confirmed DD Gene	Skeleton
BMP4	Confirmed DD Gene	Face
CLDN19	Confirmed DD Gene	Endocrine/Metabolic
CLDN19	Confirmed DD Gene	Eye
CC2D2A	Confirmed DD Gene	Brain/Cognition
CC2D2A	Confirmed DD Gene	GI tract
CC2D2A	Confirmed DD Gene	Kidney Renal Tract
CC2D2A	Confirmed DD Gene	Skeleton
COL2A1	Confirmed DD Gene	Skeleton
COL2A1	Confirmed DD Gene	Face
HCCS	Confirmed DD Gene	Eye
HCCS	Confirmed DD Gene	Skin
CYP1B1	Confirmed DD Gene	Eye
DHODH	Confirmed DD Gene	Skeleton
DHODH	Confirmed DD Gene	Face
POLR1C	Confirmed DD Gene	Face
POLR1C	Confirmed DD Gene	Ear
POLR1D	Confirmed DD Gene	Face
POLR1D	Confirmed DD Gene	Ear
EPHA2	Not DD Gene	Eye
EYA1	Confirmed DD Gene	Eye
EYA1	Confirmed DD Gene	Kidney Renal Tract
EYA1	Confirmed DD Gene	Ear
GFER	Possible DD Gene	Ear
GFER	Possible DD Gene	Musculature
FTL	Confirmed DD Gene	Eye
FTL	Confirmed DD Gene	Endocrine/Metabolic
FBN1	Confirmed DD Gene	Skeleton
FBN1	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
FBN1	Confirmed DD Gene	Eye
FOXC1	Confirmed DD Gene	Eye
FOXE3	Confirmed DD Gene	Eye
GALK1	Confirmed DD Gene	Endocrine/Metabolic
GALK1	Confirmed DD Gene	Eye
CRYGC	Confirmed DD Gene	Eye
CRYGD	Confirmed DD Gene	Eye
GJA1	Confirmed DD Gene	Eye
GJA1	Confirmed DD Gene	Teeth & Dentitian
GJA1	Confirmed DD Gene	Skeleton
GJA3	Confirmed DD Gene	Eye
GJA8	Confirmed DD Gene	Eye
GDF3	Possible DD Gene	Skeleton
GDF3	Possible DD Gene	Eye
GDF6	Confirmed DD Gene	Skeleton
GDF6	Confirmed DD Gene	Eye
HSF4	Confirmed DD Gene	Eye
HMX1	Probable DD gene	Eye
HMX1	Probable DD gene	Ear
OTX2	Confirmed DD Gene	Eye
OTX2	Confirmed DD Gene	Brain/Cognition
OTX2	Confirmed DD Gene	Endocrine/Metabolic
SIX6	Possible DD Gene	Eye
FAM126A	Confirmed DD Gene	Brain/Cognition
FAM126A	Confirmed DD Gene	Eye
IGBP1	Possible DD Gene	Brain/Cognition
IGBP1	Possible DD Gene	Eye
IGBP1	Possible DD Gene	Face
OCRL	Confirmed DD Gene	Brain/Cognition
OCRL	Confirmed DD Gene	Endocrine/Metabolic
OCRL	Confirmed DD Gene	Skin
LTBP2	Confirmed DD Gene	Eye
TMEM67	Confirmed DD Gene	Brain/Cognition
TMEM67	Confirmed DD Gene	GI tract
TMEM67	Confirmed DD Gene	Kidney Renal Tract
TMEM67	Confirmed DD Gene	Skeleton
MFRP	Confirmed DD Gene	Eye
MITF	Confirmed DD Gene	Skin
MYOC	Possible DD Gene	Eye
MYH9	Possible DD Gene	Bone Marrow/Immune 
DMPK	Confirmed DD Gene	Musculature
DMPK	Confirmed DD Gene	Eye
DMPK	Confirmed DD Gene	Endocrine/Metabolic
NHS	Confirmed DD Gene	Eye
NHS	Confirmed DD Gene	Teeth & Dentitian
OPTN	Not DD Gene	Eye
PAX2	Confirmed DD Gene	Eye
PAX2	Confirmed DD Gene	Kidney Renal Tract
PAX6	Confirmed DD Gene	Eye
PAX6	Confirmed DD Gene	Brain/Cognition
PITX2	Confirmed DD Gene	Eye
PITX2	Confirmed DD Gene	Teeth & Dentitian
PITX2	Confirmed DD Gene	GI tract
PITX3	Confirmed DD Gene	Eye
PQBP1	Confirmed DD Gene	Brain/Cognition
PQBP1	Confirmed DD Gene	Genitalia
PQBP1	Confirmed DD Gene	Eye
DDX11	Confirmed DD Gene	Brain/Cognition
DDX11	Confirmed DD Gene	Skin
DDX11	Confirmed DD Gene	Bone Marrow/Immune 
PORCN	Confirmed DD Gene	Skin
PORCN	Confirmed DD Gene	Skeleton
RPGRIP1L	Confirmed DD Gene	Brain/Cognition
RPGRIP1L	Confirmed DD Gene	GI tract
RPGRIP1L	Confirmed DD Gene	Kidney Renal Tract
RPGRIP1L	Confirmed DD Gene	Eye
POMGNT1	Confirmed DD Gene	Musculature
POMGNT1	Confirmed DD Gene	Brain/Cognition
POMGNT1	Confirmed DD Gene	Eye
PRSS56	Confirmed DD Gene	Eye
RAB3GAP2	Confirmed DD Gene	Brain/Cognition
RAB3GAP2	Confirmed DD Gene	Eye
RAB3GAP2	Confirmed DD Gene	Genitalia
RAX	Confirmed DD Gene	Eye
RAX	Confirmed DD Gene	Brain/Cognition
CTDP1	Confirmed DD Gene	Eye
CTDP1	Confirmed DD Gene	Spinal cord/Peripheral nerves
CTDP1	Confirmed DD Gene	Brain/Cognition
CTDP1	Confirmed DD Gene	Musculature
SHH	Confirmed DD Gene	Brain/Cognition
SHH	Confirmed DD Gene	Eye
SHH	Confirmed DD Gene	Face
SHH	Confirmed DD Gene	Teeth & Dentitian
SNX3	Possible DD Gene	Eye
SNX3	Possible DD Gene	Brain/Cognition
SNX3	Possible DD Gene	Face
SMOC1	Confirmed DD Gene	Eye
SMOC1	Confirmed DD Gene	Skeleton
SMOC1	Confirmed DD Gene	Brain/Cognition
SMOC1	Confirmed DD Gene	Face
STRA6	Confirmed DD Gene	Eye
STRA6	Confirmed DD Gene	Brain/Cognition
STRA6	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
STRA6	Confirmed DD Gene	Respiratory tract
MAF	Confirmed DD Gene	Eye
SOX10	Confirmed DD Gene	Skin
SOX10	Confirmed DD Gene	Face
SOX10	Confirmed DD Gene	Spinal cord/Peripheral nerves
SOX2	Confirmed DD Gene	Eye
SOX2	Confirmed DD Gene	Brain/Cognition
SOX2	Confirmed DD Gene	Endocrine/Metabolic
SOX2	Confirmed DD Gene	GI tract
TMEM114	Possible DD Gene	Eye
TCOF1	Confirmed DD Gene	Face
TCOF1	Confirmed DD Gene	Ear
TDRD7	Possible DD Gene	Eye
VSX2	Confirmed DD Gene	Eye
ZEB2	Confirmed DD Gene	Brain/Cognition
ZEB2	Confirmed DD Gene	GI tract
ZEB2	Confirmed DD Gene	Face
GLIS3	Confirmed DD Gene	Endocrine/Metabolic
GLIS3	Confirmed DD Gene	Kidney Renal Tract
CHRNA4	Possible DD Gene	Brain/Cognition
ACOX1	Confirmed DD Gene	Endocrine/Metabolic
ACOX1	Confirmed DD Gene	Brain/Cognition
ACOX1	Confirmed DD Gene	GI tract
ACOX1	Confirmed DD Gene	Respiratory tract
ACSL4	Probable DD gene	Brain/Cognition
ACSL4	Probable DD gene	Face
ACTC1	Possible DD Gene	Heart/Cardiovasculature/Lymphatic
AGPS	Confirmed DD Gene	Brain/Cognition
AGPS	Confirmed DD Gene	Skeleton
AGPS	Confirmed DD Gene	Eye
AFF2	Confirmed DD Gene	Brain/Cognition
ALDH3A2	Confirmed DD Gene	Brain/Cognition
ALDH4A1	Confirmed DD Gene	Endocrine/Metabolic
ALDH4A1	Confirmed DD Gene	Brain/Cognition
GNAS	Confirmed DD Gene	Skeleton
GNAS	Confirmed DD Gene	Brain/Cognition
GNAS	Confirmed DD Gene	Endocrine/Metabolic
ALX3	Confirmed DD Gene	Face
MAOA	Possible DD Gene	Brain/Cognition
AP1S2	Confirmed DD Gene	Brain/Cognition
AP4M1	Possible DD Gene	Brain/Cognition
ARG1	Confirmed DD Gene	Endocrine/Metabolic
ARG1	Confirmed DD Gene	Brain/Cognition
ARHGEF6	Possible DD Gene	Brain/Cognition
ARHGEF10	Not DD Gene	Spinal cord/Peripheral nerves
ARL6	Confirmed DD Gene	Skeleton
ARL6	Confirmed DD Gene	Brain/Cognition
ARL6	Confirmed DD Gene	Endocrine/Metabolic
ARL6	Confirmed DD Gene	Eye
ARX	Confirmed DD Gene	Brain/Cognition
ARX	Confirmed DD Gene	Genitalia
SMPD1	Confirmed DD Gene	Endocrine/Metabolic
SMPD1	Confirmed DD Gene	Brain/Cognition
SMPD1	Confirmed DD Gene	GI tract
AGA	Confirmed DD Gene	Endocrine/Metabolic
AGA	Confirmed DD Gene	Brain/Cognition
AGA	Confirmed DD Gene	Skeleton
ATP2A2	Possible DD Gene	Skin
ATP2A2	Possible DD Gene	Brain/Cognition
ATRX	Confirmed DD Gene	Brain/Cognition
ATRX	Confirmed DD Gene	Face
ATRX	Confirmed DD Gene	Genitalia
ATR	Possible DD Gene	Skeleton
ATR	Possible DD Gene	Brain/Cognition
ATR	Possible DD Gene	Face
TAT	Confirmed DD Gene	Endocrine/Metabolic
TAT	Confirmed DD Gene	Skin
TAT	Confirmed DD Gene	Brain/Cognition
B4GALT7	Confirmed DD Gene	Skeleton
BBS10	Confirmed DD Gene	Brain/Cognition
BBS10	Confirmed DD Gene	Eye
BBS10	Confirmed DD Gene	Skeleton
BBS12	Confirmed DD Gene	Eye
BBS12	Confirmed DD Gene	Skeleton
BBS1	Confirmed DD Gene	Brain/Cognition
BBS1	Confirmed DD Gene	Eye
BBS1	Confirmed DD Gene	Skeleton
BBS2	Confirmed DD Gene	Brain/Cognition
BBS2	Confirmed DD Gene	Eye
BBS2	Confirmed DD Gene	Skeleton
BBS4	Confirmed DD Gene	Brain/Cognition
BBS4	Confirmed DD Gene	Eye
BBS4	Confirmed DD Gene	Skeleton
BBS5	Confirmed DD Gene	Brain/Cognition
BBS5	Confirmed DD Gene	Eye
BBS5	Confirmed DD Gene	Skeleton
BBS7	Confirmed DD Gene	Brain/Cognition
BBS7	Confirmed DD Gene	Eye
BBS7	Confirmed DD Gene	Skeleton
BPIFB6	Possible DD Gene	Brain/Cognition
BRAF	Confirmed DD Gene	Brain/Cognition
BRAF	Confirmed DD Gene	Skin
BRAF	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
BRWD3	Confirmed DD Gene	Brain/Cognition
CC2D1A	Confirmed DD Gene	Brain/Cognition
CDH15	Confirmed DD Gene	Brain/Cognition
CA2	Confirmed DD Gene	Skeleton
CA2	Confirmed DD Gene	Kidney Renal Tract
CA2	Confirmed DD Gene	Brain/Cognition
CA8	Confirmed DD Gene	Brain/Cognition
COA5	Possible DD Gene	Endocrine/Metabolic
COA5	Possible DD Gene	Brain/Cognition
COA5	Possible DD Gene	Heart/Cardiovasculature/Lymphatic
COA5	Possible DD Gene	GI tract
CREBBP	Confirmed DD Gene	Brain/Cognition
CREBBP	Confirmed DD Gene	Skeleton
CBS	Confirmed DD Gene	Endocrine/Metabolic
CBS	Confirmed DD Gene	Brain/Cognition
CBS	Confirmed DD Gene	Eye
CBS	Confirmed DD Gene	Skeleton
CBS	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
CCBE1	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
CCBE1	Confirmed DD Gene	Brain/Cognition
CCBE1	Confirmed DD Gene	Face
CCM2	Not DD Gene	Heart/Cardiovasculature/Lymphatic
CCM2	Not DD Gene	Brain/Cognition
CDKL5	Confirmed DD Gene	Brain/Cognition
CEP152	Confirmed DD Gene	Brain/Cognition
CEP152	Confirmed DD Gene	Skeleton
CEP152	Confirmed DD Gene	Face
CEP290	Confirmed DD Gene	Brain/Cognition
CEP290	Confirmed DD Gene	Kidney Renal Tract
CENPJ	Confirmed DD Gene	Brain/Cognition
CENPJ	Confirmed DD Gene	Skeleton
CENPJ	Confirmed DD Gene	Face
HSPD1	Both DD and IF	Brain/Cognition
CIC	Possible DD Gene	Brain/Cognition
CLN8	Confirmed DD Gene	Brain/Cognition
CLN8	Confirmed DD Gene	Endocrine/Metabolic
CNTNAP2	Confirmed DD Gene	Brain/Cognition
COX10	Confirmed DD Gene	Endocrine/Metabolic
COX10	Confirmed DD Gene	Musculature
COX10	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
COX10	Confirmed DD Gene	Brain/Cognition
COX15	Confirmed DD Gene	Endocrine/Metabolic
COX15	Confirmed DD Gene	Brain/Cognition
COX15	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
COX15	Confirmed DD Gene	Musculature
COX15	Confirmed DD Gene	GI tract
CPS1	Confirmed DD Gene	Endocrine/Metabolic
CPS1	Confirmed DD Gene	Brain/Cognition
CRBN	Possible DD Gene	Brain/Cognition
CASK	Confirmed DD Gene	Brain/Cognition
CASK	Confirmed DD Gene	Face
CASK	Confirmed DD Gene	GI tract
CUL4B	Confirmed DD Gene	Brain/Cognition
CUL4B	Confirmed DD Gene	Genitalia
COX6B1	Confirmed DD Gene	Endocrine/Metabolic
COX6B1	Confirmed DD Gene	Brain/Cognition
COX6B1	Confirmed DD Gene	Musculature
COX6B1	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
DPY19L2	IF Gene: Adult No Rx	Genitalia
DAG1	Confirmed DD Gene	Brain/Cognition
DAG1	Confirmed DD Gene	Musculature
DCAF17	Possible DD Gene	Brain/Cognition
DCAF17	Possible DD Gene	Endocrine/Metabolic
DCAF17	Possible DD Gene	Skin
GAD1	Possible DD Gene	Brain/Cognition
DCX	Confirmed DD Gene	Brain/Cognition
DEAF1	Confirmed DD Gene	Brain/Cognition
DHCR7	Confirmed DD Gene	Brain/Cognition
DHCR7	Confirmed DD Gene	Endocrine/Metabolic
DHCR7	Confirmed DD Gene	Skeleton
DHCR7	Confirmed DD Gene	Face
DHCR7	Confirmed DD Gene	Genitalia
DLG3	Confirmed DD Gene	Brain/Cognition
DLL3	Confirmed DD Gene	Skeleton
DMD	Confirmed DD Gene	Musculature
DMD	Confirmed DD Gene	Brain/Cognition
DYNC1H1	Possible DD Gene	Brain/Cognition
DYM	Confirmed DD Gene	Brain/Cognition
DYM	Confirmed DD Gene	Skeleton
EIF2AK3	Confirmed DD Gene	Brain/Cognition
EIF2AK3	Confirmed DD Gene	Endocrine/Metabolic
EIF2AK3	Confirmed DD Gene	Skeleton
EIF2AK3	Confirmed DD Gene	GI tract
EHMT1	Confirmed DD Gene	Brain/Cognition
EHMT1	Confirmed DD Gene	Face
EHMT1	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
EP300	Confirmed DD Gene	Brain/Cognition
EP300	Confirmed DD Gene	Skeleton
EP300	Confirmed DD Gene	Face
ERCC2	Confirmed DD Gene	Skin
ERCC2	Confirmed DD Gene	Skeleton
ERCC2	Confirmed DD Gene	Brain/Cognition
ERCC2	Confirmed DD Gene	Spinal cord/Peripheral nerves
ERCC3	Confirmed DD Gene	Brain/Cognition
ERCC3	Confirmed DD Gene	Skin
ERCC3	Confirmed DD Gene	Ear
ERCC3	Confirmed DD Gene	Eye
ERCC3	Confirmed DD Gene	Skeleton
ERCC5	Confirmed DD Gene	Brain/Cognition
ERCC5	Confirmed DD Gene	Ear
ERCC5	Confirmed DD Gene	Eye
ERCC5	Confirmed DD Gene	Skeleton
ERCC5	Confirmed DD Gene	Spinal cord/Peripheral nerves
ERCC6	Confirmed DD Gene	Brain/Cognition
ERCC6	Confirmed DD Gene	Skeleton
ERCC5	Confirmed DD Gene	Skin
ERCC6	Confirmed DD Gene	Eye
ERCC8	Confirmed DD Gene	Brain/Cognition
ERCC8	Confirmed DD Gene	Skeleton
ERCC8	Confirmed DD Gene	Skin
ESCO2	Confirmed DD Gene	Brain/Cognition
ESCO2	Confirmed DD Gene	Skeleton
ESCO2	Confirmed DD Gene	Face
EXT1	Confirmed DD Gene	Skin
EXT1	Confirmed DD Gene	Face
FBLN1	Possible DD Gene	Skeleton
FBXO25	Possible DD Gene	Brain/Cognition
FBXW4	Possible DD Gene	Skeleton
FGD1	Confirmed DD Gene	Face
FGD1	Confirmed DD Gene	Skeleton
FGD1	Confirmed DD Gene	Genitalia
FGFR2	Confirmed DD Gene	Skeleton
FGFR2	Confirmed DD Gene	Face
FGFR3	Confirmed DD Gene	Skeleton
FGFR3	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
FGFR3	Confirmed DD Gene	Skin
FKRP	Confirmed DD Gene	Brain/Cognition
FKRP	Confirmed DD Gene	Eye
FKRP	Confirmed DD Gene	Musculature
FKTN	Confirmed DD Gene	Brain/Cognition
FKTN	Confirmed DD Gene	Musculature
FKTN	Confirmed DD Gene	Eye
FLNA	Confirmed DD Gene	Brain/Cognition
FLNA	Confirmed DD Gene	Skeleton
FLNA	Confirmed DD Gene	Face
FMR1	Both DD and IF	Brain/Cognition
FOXF1	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
FOXF1	Confirmed DD Gene	Respiratory tract
FOXF1	Confirmed DD Gene	Genitalia
FOXG1	Confirmed DD Gene	Brain/Cognition
FOXP1	Confirmed DD Gene	Brain/Cognition
FRAS1	Confirmed DD Gene	Respiratory tract
FRAS1	Confirmed DD Gene	Skin
FRAS1	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
FREM2	Confirmed DD Gene	Skin
FREM2	Confirmed DD Gene	Kidney Renal Tract
FREM2	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
WDPCP	Confirmed DD Gene	Brain/Cognition
WDPCP	Confirmed DD Gene	Skeleton
WDPCP	Confirmed DD Gene	Kidney Renal Tract
WDPCP	Confirmed DD Gene	Eye
FTCD	Confirmed DD Gene	Endocrine/Metabolic
FTCD	Confirmed DD Gene	Brain/Cognition
FTCD	Confirmed DD Gene	Bone Marrow/Immune 
SLC35C1	Confirmed DD Gene	Bone Marrow/Immune 
SLC35C1	Confirmed DD Gene	Face
GALE	Confirmed DD Gene	Endocrine/Metabolic
GALE	Confirmed DD Gene	Brain/Cognition
GALE	Confirmed DD Gene	Eye
GALE	Confirmed DD Gene	GI tract
GALE	Confirmed DD Gene	Ear
GALT	Confirmed DD Gene	Endocrine/Metabolic
GALT	Confirmed DD Gene	GI tract
GALT	Confirmed DD Gene	Brain/Cognition
GALT	Confirmed DD Gene	Eye
GAMT	Confirmed DD Gene	Brain/Cognition
GAMT	Confirmed DD Gene	Endocrine/Metabolic
GATA4	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
GATM	Confirmed DD Gene	Brain/Cognition
GATM	Confirmed DD Gene	Endocrine/Metabolic
GCH1	Confirmed DD Gene	Brain/Cognition
GCH1	Confirmed DD Gene	Endocrine/Metabolic
GDF5	Confirmed DD Gene	Skeleton
GDI1	Confirmed DD Gene	Brain/Cognition
GLMN	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
GLUL	Confirmed DD Gene	Endocrine/Metabolic
GLUL	Confirmed DD Gene	Brain/Cognition
GNPAT	Confirmed DD Gene	Skeleton
GNPAT	Confirmed DD Gene	Brain/Cognition
GNPAT	Confirmed DD Gene	Eye
GNPAT	Confirmed DD Gene	Skin
GNPAT	Confirmed DD Gene	Endocrine/Metabolic
GNPTAB	Confirmed DD Gene	Brain/Cognition
GNPTAB	Confirmed DD Gene	Skeleton
GNPTAB	Confirmed DD Gene	Endocrine/Metabolic
GNPTG	Confirmed DD Gene	Brain/Cognition
GNPTG	Confirmed DD Gene	Endocrine/Metabolic
GNPTG	Confirmed DD Gene	Skeleton
GRIA3	Confirmed DD Gene	Brain/Cognition
GRIK2	Confirmed DD Gene	Brain/Cognition
SLC2A1	Confirmed DD Gene	Brain/Cognition
HSD17B10	Confirmed DD Gene	Brain/Cognition
HSD17B10	Confirmed DD Gene	Endocrine/Metabolic
HDAC4	Confirmed DD Gene	Brain/Cognition
HDAC4	Confirmed DD Gene	Skeleton
HNF1B	Confirmed DD Gene	Skeleton
HNF1B	Confirmed DD Gene	Endocrine/Metabolic
HPD	Possible DD Gene	Brain/Cognition
HPD	Possible DD Gene	Endocrine/Metabolic
HPRT1	Confirmed DD Gene	Brain/Cognition
HPRT1	Confirmed DD Gene	Endocrine/Metabolic
UROC1	Confirmed DD Gene	Brain/Cognition
UROC1	Confirmed DD Gene	Endocrine/Metabolic
HUWE1	Confirmed DD Gene	Brain/Cognition
HUWE1	Confirmed DD Gene	Skeleton
HOXA1	Confirmed DD Gene	Brain/Cognition
HOXA1	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
HOXD13	Confirmed DD Gene	Skeleton
HYLS1	Confirmed DD Gene	Brain/Cognition
HYLS1	Confirmed DD Gene	Skeleton
HYLS1	Confirmed DD Gene	Face
IDS	Confirmed DD Gene	Brain/Cognition
IDS	Confirmed DD Gene	Skeleton
IDS	Confirmed DD Gene	Endocrine/Metabolic
IDS	Confirmed DD Gene	GI tract
IDUA	Confirmed DD Gene	Brain/Cognition
IDUA	Confirmed DD Gene	Skeleton
IDUA	Confirmed DD Gene	Endocrine/Metabolic
IDUA	Confirmed DD Gene	GI tract
IGF1	Confirmed DD Gene	Brain/Cognition
IGF1	Confirmed DD Gene	Skeleton
IGF1	Confirmed DD Gene	Ear
CHUK	Confirmed DD Gene	Skin
CHUK	Confirmed DD Gene	Face
INPP5E	Confirmed DD Gene	Brain/Cognition
INPP5E	Confirmed DD Gene	Eye
INPP5E	Confirmed DD Gene	Genitalia
IQSEC2	Confirmed DD Gene	Brain/Cognition
KCNJ10	Confirmed DD Gene	Brain/Cognition
KCNJ10	Confirmed DD Gene	Ear
KCNJ10	Confirmed DD Gene	Endocrine/Metabolic
IL1RAPL1	Confirmed DD Gene	Brain/Cognition
TCF4	Confirmed DD Gene	Brain/Cognition
TCF4	Confirmed DD Gene	Face
KIAA2022	Possible DD Gene	Brain/Cognition
KANK1	Possible DD Gene	Brain/Cognition
KIAA1279	Confirmed DD Gene	Brain/Cognition
KIAA1279	Confirmed DD Gene	GI tract
KCNC3	Both DD and IF	Brain/Cognition
KCNK9	Possible DD Gene	Brain/Cognition
KCNK9	Possible DD Gene	Face
KCNQ2	Confirmed DD Gene	Brain/Cognition
KCNQ2	Confirmed DD Gene	Musculature
KCTD7	Confirmed DD Gene	Brain/Cognition
KDM5C	Confirmed DD Gene	Brain/Cognition
KDM5C	Confirmed DD Gene	Face
KIRREL3	Confirmed DD Gene	Brain/Cognition
KRIT1	Possible DD Gene	Brain/Cognition
KRIT1	Possible DD Gene	Heart/Cardiovasculature/Lymphatic
KRIT1	Possible DD Gene	Skin
RPS6KA3	Confirmed DD Gene	Brain/Cognition
RPS6KA3	Confirmed DD Gene	Face
L1CAM	Confirmed DD Gene	Brain/Cognition
L2HGDH	Confirmed DD Gene	Endocrine/Metabolic
L2HGDH	Confirmed DD Gene	Brain/Cognition
LAMP2	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
LAMP2	Confirmed DD Gene	Musculature
LARGE	Confirmed DD Gene	Musculature
LARGE	Confirmed DD Gene	Brain/Cognition
LFNG	Confirmed DD Gene	Skeleton
PAFAH1B1	Confirmed DD Gene	Brain/Cognition
LMNA	Both DD and IF	Heart/Cardiovasculature/Lymphatic
LMNA	Both DD and IF	Musculature
LMNB2	Possible DD Gene	Kidney Renal Tract
LMNB2	Possible DD Gene	Endocrine/Metabolic
LMNB2	Possible DD Gene	Skin
LRP4	Confirmed DD Gene	Skeleton
MAN2B1	Confirmed DD Gene	Endocrine/Metabolic
MAN2B1	Confirmed DD Gene	Brain/Cognition
MAN2B1	Confirmed DD Gene	Bone Marrow/Immune 
MAGT1	Possible DD Gene	Brain/Cognition
MAMLD1	Probable DD gene	Genitalia
MANBA	Confirmed DD Gene	Endocrine/Metabolic
MANBA	Confirmed DD Gene	Brain/Cognition
MANBA	Confirmed DD Gene	Spinal cord/Peripheral nerves
MCPH1	Confirmed DD Gene	Brain/Cognition
MED13L	Possible DD Gene	Heart/Cardiovasculature/Lymphatic
MECP2	Confirmed DD Gene	Brain/Cognition
MECP2	Confirmed DD Gene	GI tract
MED12	Confirmed DD Gene	Brain/Cognition
MED12	Confirmed DD Gene	Skeleton
MED12	Confirmed DD Gene	Genitalia
MED12	Confirmed DD Gene	GI tract
MEF2C	Confirmed DD Gene	Face
MESP2	Confirmed DD Gene	Skeleton
MTR	Confirmed DD Gene	Endocrine/Metabolic
MTR	Confirmed DD Gene	Brain/Cognition
MTR	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
MTR	Confirmed DD Gene	Bone Marrow/Immune 
MGAT2	Confirmed DD Gene	Brain/Cognition
MGAT2	Confirmed DD Gene	Endocrine/Metabolic
MGAT2	Confirmed DD Gene	Bone Marrow/Immune 
MAPK10	Possible DD Gene	Brain/Cognition
MKKS	Confirmed DD Gene	Brain/Cognition
MKKS	Confirmed DD Gene	Skeleton
MKKS	Confirmed DD Gene	Genitalia
MKKS	Confirmed DD Gene	Eye
MKKS	Confirmed DD Gene	Kidney Renal Tract
MKS1	Confirmed DD Gene	Brain/Cognition
MKS1	Confirmed DD Gene	Skeleton
MKS1	Confirmed DD Gene	Eye
MKS1	Confirmed DD Gene	Kidney Renal Tract
MLC1	Confirmed DD Gene	Brain/Cognition
MLL2	Confirmed DD Gene	Brain/Cognition
MLL2	Confirmed DD Gene	Face
MLL2	Confirmed DD Gene	Skeleton
MLL2	Confirmed DD Gene	Kidney Renal Tract
MMADHC	Confirmed DD Gene	Endocrine/Metabolic
MMADHC	Confirmed DD Gene	Brain/Cognition
MMADHC	Confirmed DD Gene	Bone Marrow/Immune 
MNX1	Confirmed DD Gene	Skeleton
MNX1	Confirmed DD Gene	GI tract
MNX1	Confirmed DD Gene	Spinal cord/Peripheral nerves
MAP2K1	Confirmed DD Gene	Skin
MAP2K1	Confirmed DD Gene	Skeleton
MAP2K1	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
MAP2K2	Confirmed DD Gene	Brain/Cognition
MAP2K2	Confirmed DD Gene	Skin
MAP2K2	Confirmed DD Gene	Skeleton
MAP2K2	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
MTHFR	Both DD and IF	Brain/Cognition
MTHFR	Both DD and IF	Endocrine/Metabolic
MYH3	Confirmed DD Gene	Skeleton
MYH3	Confirmed DD Gene	Musculature
MYH6	Both DD and IF	Heart/Cardiovasculature/Lymphatic
MYO5A	Confirmed DD Gene	Skin
PLP1	Confirmed DD Gene	Brain/Cognition
NAGA	Confirmed DD Gene	Brain/Cognition
NAGA	Confirmed DD Gene	Endocrine/Metabolic
PRSS12	Confirmed DD Gene	Brain/Cognition
NEU1	Confirmed DD Gene	Endocrine/Metabolic
NEU1	Confirmed DD Gene	Eye
NEU1	Confirmed DD Gene	Brain/Cognition
NEU1	Confirmed DD Gene	Skeleton
NF1	Confirmed DD Gene	Brain/Cognition
NF1	Confirmed DD Gene	Spinal cord/Peripheral nerves
NF1	Confirmed DD Gene	Skin
NIPBL	Confirmed DD Gene	Brain/Cognition
NIPBL	Confirmed DD Gene	Skeleton
NIPBL	Confirmed DD Gene	GI tract
NIPBL	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
NIPBL	Confirmed DD Gene	Genitalia
NIPBL	Confirmed DD Gene	Ear
NIPBL	Confirmed DD Gene	Bone Marrow/Immune 
NKX2-5	Confirmed DD Gene	Heart/Cardiovasculature/Lymphatic
NLGN4X	Possible DD Gene	Brain/Cognition
NOG	Confirmed DD Gene	Skeleton
NSD1	Confirmed DD Gene	Brain/Cognition
NSD1	Confirmed DD Gene	Skeleton
NSD1	Confirmed DD Gene	Face
NIPBL	Confirmed DD Gene	Face
NSDHL	Confirmed DD Gene	Skeleton
NSDHL	Confirmed DD Gene	Skin
NTRK1	Confirmed DD Gene	Spinal cord/Peripheral nerves
NUP62	Probable DD gene	Brain/Cognition
NXF5	Possible DD Gene	Brain/Cognition
OFD1	Confirmed DD Gene	Skeleton
